"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.702","3.02440695804309","BLCA",1
"2","0.5","0.087","2.80560815852126","BRCA_1",2
"3","0.5","0.179","2.70548996957309","BRCA_2",3
"4","0.5","0.116","3.19438101501967","COAD_READ",4
"5","0.5","0.074","2.74318792314359","HNSC",5
"6","0.5","0.757","3.22370726658094","KICH",6
"7","0.5","0.077","2.57650122352146","KIRC",7
"8","0.5","0.0570000000000001","3.18809903680004","KIRP",8
"9","0.5","0.083","2.46713102767864","LIHC",9
"10","0.5","0.089","2.86357596384811","LUAD",10
"11","0.5","0.098","2.94266624541587","LUSC",11
"12","0.5","0.094","2.8634938385419","PRAD",12
"13","0.5","0.104","2.70511256580837","STES",13
"14","0.5","0.075","2.99377840093916","THCA",14
"15","0.5","0.389","3.24303303759568","UCEC",15
