"","likelihood","bart","expr","cancer","rank_size"
"1","4.50706936530621e-14","0.141","-0.0948607949430298","BLCA",1
"2","3.12636449994878e-10","0.178","0.878111076481857","BRCA_1",2
"3","2.78100593767629e-08","0.675","0.914619567230427","BRCA_2",3
"4","5.73146639597637e-21","0.093","-0.116669736858118","COAD_READ",4
"5","9.23813867519082e-17","0.328","0.247566134071315","HNSC",5
"6","0.00474324785015926","0.483","0.638239541763977","KICH",6
"7","1.4465070686038e-05","0.696","2.17942769366152","KIRC",7
"8","0.000277648843129792","0.686","0.307948228330645","KIRP",8
"9","6.39985239112298e-20","0.096","0.044787590362057","LIHC",9
"10","5.79518933482874e-18","0.181","1.12947325895948","LUAD",10
"11","5.42340462496942e-05","0.107","0.196978161059283","LUSC",11
"12","3.88668448956156e-12","0.207","0.443498897406484","PRAD",12
"13","2.10025548460756e-17","0.173","0.840433350325562","STES",13
"14","0.0159677397337736","0.254","1.21666706380248","THCA",14
"15","1.94012265056648e-09","0.157","-0.115137695573669","UCEC",15
