"","likelihood","bart","expr","rank_size"
"1",0.5,0.872,2.73006374219379,2
"2",0.5,0.825,2.47587311273321,7
"3",0.5,0.169,2.58208394547209,4
"4",0.5,0.383,2.49662952166578,6
"5",0.5,0.047,2.36185429189381,11
"6",0.5,0.667,2.11595832649131,14
"7",0.5,0.119,2.02507935867661,15
"8",0.5,0.073,2.39411769712912,9
"9",0.5,0.171,2.12650817676206,13
"10",0.5,0.28,2.40424492959475,8
"11",0.5,0.535,2.5401010460121,5
"12",0.5,0.387,2.59034098246554,3
"13",0.5,0.478,2.36421242103595,10
"14",0.5,0.11,2.33363268247965,12
"15",0.5,0.684,2.8157456646208,1
