"","likelihood","bart","expr","rank_size"
"1",0.5,0.51,2.92889866180538,4
"2",0.5,0.343,2.92202869793007,5
"3",0.5,0.578,2.88449231795561,6
"4",0.5,0.231,2.86429652482955,7
"5",0.5,0.419,2.63659252140252,13
"6",0.5,0.353,2.85338601569491,9
"7",0.5,0.595,2.39887664927562,14
"8",0.5,0.628,2.77625755241434,11
"9",0.5,0.249,2.20739174061941,15
"10",0.5,0.192,2.75583299350423,12
"11",0.5,0.165,2.86150942554761,8
"12",0.5,0.143,3.2039113270473,1
"13",0.5,0.192,2.97016124674879,3
"14",0.5,0.156,2.82162255736699,10
"15",0.5,0.324,3.05346830251815,2
