"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.792","1.2707217632286","BLCA",1
"2","0.5","0.348","1.14737620864512","BRCA_1",2
"3","0.5","0.573","1.07858161089523","BRCA_2",3
"4","0.5","0.707","1.20688119270004","COAD_READ",4
"5","0.5","0.207","1.28062604743035","HNSC",5
"6","0.5","0.361","1.30365839608583","KICH",6
"7","0.5","0.248","1.00846238140799","KIRC",7
"8","0.5","0.155","1.26057229356833","KIRP",8
"9","0.5","0.25","0.213513252162847","LIHC",9
"10","0.5","0.395","1.1764728485279","LUAD",10
"11","0.5","0.34","1.2420028634092","LUSC",11
"12","0.5","0.431","1.2070521769118","PRAD",12
"13","0.5","0.555","1.46267544052014","STES",13
"14","0.5","0.204","1.30890180409925","THCA",14
"15","0.5","0.903","1.15997509614224","UCEC",15
