"","likelihood","bart","expr","rank_size"
"1",0.5,0.548,2.3523571961836,3
"2",0.5,0.247,2.29236160836587,4
"3",0.5,0.569,2.61556688251706,1
"4",0.5,0.456,2.11855665500836,9
"5",0.5,0.382,2.21363702265055,5
"6",0.5,0.6,1.53407943405765,15
"7",0.5,0.133,1.8683134261562,11
"8",0.5,0.145,1.68367717397365,14
"9",0.5,0.521,1.71831734962623,13
"10",0.5,0.324,2.21019680485782,6
"11",0.5,0.525,2.52345737308402,2
"12",0.5,0.548,2.15553341604449,8
"13",0.5,0.399,1.94541138577103,10
"14",0.5,0.204,1.78188835759679,12
"15",0.5,0.524,2.19491299970027,7
