"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.289","-2.29745455388502","BLCA",1
"2","0.5","0.347","-2.27914015586932","BRCA_1",2
"3","0.5","0.357","-2.29906429197927","BRCA_2",3
"4","0.5","0.497","-2.2962341663656","COAD_READ",4
"5","0.5","0.736","-1.70629854109172","HNSC",5
"6","0.5","0.325","-2.06289053973913","KICH",6
"7","0.5","0.529","-2.28990698564686","KIRC",7
"8","0.5","0.408","-2.29618566514465","KIRP",8
"9","0.5","0.639","-2.30096423852609","LIHC",9
"10","0.5","0.326","-2.29221748142782","LUAD",10
"11","0.5","0.293","-2.29616290798264","LUSC",11
"12","0.5","0.27","-2.22174966861152","PRAD",12
"13","0.5","0.628","-2.28118041444567","STES",13
"14","0.5","0.554","-2.24925755517372","THCA",14
"15","0.5","0.192","-2.29148389694112","UCEC",15
