"","likelihood","bart","expr","cancer","rank_size"
"1","0.174327509600975","0.261","-2.25974162305576","BLCA",1
"2","0.00259855403212363","0.577","-2.25802365559084","BRCA_1",2
"3","8.91152501429799e-06","0.373","-2.21559241157629","BRCA_2",3
"4","0.00697423824285078","0.839","-2.26264402784528","COAD_READ",4
"5","1.90593113765343e-07","0.844","-2.26318764393535","HNSC",5
"6","0.307003941529432","0.47","-2.27942976935192","KICH",6
"7","0.401276094216747","0.741","-2.21106395471092","KIRC",7
"8","0.288129119077091","0.476","-2.2316475455303","KIRP",8
"9","2.15114596867318e-30","0.93","-2.27052456380191","LIHC",9
"10","0.0654604504156587","0.898","-2.24690497445434","LUAD",10
"11","0.269762440030907","0.921","-2.24852231597299","LUSC",11
"12","0.754942490681459","0.97","-2.24574133839956","PRAD",12
"13","0.00200971776358444","0.925","-2.05397923927849","STES",13
"14","0.00513653357106694","0.677","-2.259309670177","THCA",14
"15","0.00541511435818012","0.44","-2.16164803139171","UCEC",15
