"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.886","3.41963886873676","BLCA",1
"2","0.5","0.295","3.15310364874129","BRCA_1",2
"3","0.5","0.544","3.40401306733625","BRCA_2",3
"4","0.5","0.288","3.36437580871964","COAD_READ",4
"5","0.5","0.246","3.33343322897316","HNSC",5
"6","0.5","0.418","2.61036387685393","KICH",6
"7","0.5","0.289","3.17997012537336","KIRC",7
"8","0.5","0.135","3.36795935105666","KIRP",8
"9","0.5","0.327","3.1195605844907","LIHC",9
"10","0.5","0.263","3.32438815921794","LUAD",10
"11","0.5","0.323","3.33885073168567","LUSC",11
"12","0.5","0.316","3.19510844052529","PRAD",12
"13","0.5","0.295","3.0020885351974","STES",13
"14","0.5","0.284","3.23475058154368","THCA",14
"15","0.5","0.736","3.53369832831915","UCEC",15
