"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.107","-2.18377979893199","BLCA",1
"2","0.5","0.401","-1.90283597816126","BRCA_1",2
"3","0.5","0.131","-1.79158267822189","BRCA_2",3
"4","0.5","0.258","-1.6909280379787","COAD_READ",4
"5","0.5","0.815","-2.13785099799001","HNSC",5
"6","0.5","0.702","-2.2429952348724","KICH",6
"7","0.5","0.903","-2.26878280471807","KIRC",7
"8","0.5","0.621","-2.27506215910769","KIRP",8
"9","0.5","0.839","-2.29671624126546","LIHC",9
"10","0.5","0.3","-2.22992661494971","LUAD",10
"11","0.5","0.208","-1.99998123576181","LUSC",11
"12","0.5","0.401","-2.25109545607937","PRAD",12
"13","0.5","0.486","-2.20958542798089","STES",13
"14","0.5","0.859","-2.17586346625555","THCA",14
"15","0.5","0.081","-1.5863685142626","UCEC",15
