"","likelihood","bart","expr","rank_size"
"1",0.5,0.797,2.29246337279115,3
"2",0.5,0.144,2.11746156122976,10
"3",0.5,0.554,2.35324188562707,2
"4",0.5,0.229,2.03388077751954,13
"5",0.5,0.071,2.03175898939078,14
"6",0.5,0.436,2.22631307364121,4
"7",0.5,0.133,2.08186187929299,12
"8",0.5,0.087,2.15883176886366,7
"9",0.5,0.115,1.91434610816833,15
"10",0.5,0.17,2.16760246073013,6
"11",0.5,0.221,2.17048852822544,5
"12",0.5,0.128,2.15864993839114,8
"13",0.5,0.146,2.11477923589236,11
"14",0.5,0.111,2.13407252746255,9
"15",0.5,0.734,2.42481919245676,1
