"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.659","4.23109959521967","BLCA",1
"2","0.5","0.931","4.29777323105023","BRCA_1",2
"3","0.5","0.402","4.44009571649062","BRCA_2",3
"4","0.5","0.866","4.4695395586933","COAD_READ",4
"5","0.5","0.536","4.02077420762148","HNSC",5
"6","0.5","0.17","3.43764317696631","KICH",6
"7","0.5","0.514","3.9706386136263","KIRC",7
"8","0.5","0.311","3.88869146553957","KIRP",8
"9","0.5","0.923","3.80980920336977","LIHC",9
"10","0.5","0.909","4.23815008132181","LUAD",10
"11","0.5","0.438","4.38697142374371","LUSC",11
"12","0.5","0.91","4.3125331187691","PRAD",12
"13","0.5","0.793","4.13145055568448","STES",13
"14","0.5","0.844","4.13948589085534","THCA",14
"15","0.5","0.628","4.43323743855803","UCEC",15
