"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.141","-1.88919328300379","BLCA",1
"2","0.5","0.082","-2.06317082985382","BRCA_1",2
"3","0.5","0.101","-2.05020981141355","BRCA_2",3
"4","0.5","0.077","-2.18963412094587","COAD_READ",4
"5","0.5","0.178","-2.10433180223565","HNSC",5
"6","0.5","0.853","-1.85257658580728","KICH",6
"7","0.5","0.127","-2.08995196629362","KIRC",7
"8","0.5","0.102","-1.67497568010243","KIRP",8
"9","0.5","0.111","-1.82762409166349","LIHC",9
"10","0.5","0.093","-1.40694694317725","LUAD",10
"11","0.5","0.0629999999999999","-0.549387644029198","LUSC",11
"12","0.5","0.123","-2.21574318074941","PRAD",12
"13","0.5","0.07","-2.19485960473421","STES",13
"14","0.5","0.227","-2.24612637836624","THCA",14
"15","0.5","0.109","-1.95766536390044","UCEC",15
