"","likelihood","bart","expr","rank_size"
"1",0.5,0.222,1.76446220302154,7
"2",0.5,0.791,1.61936909590265,8
"3",0.5,0.401,1.80748533306779,6
"4",0.5,0.913,1.85452280329265,5
"5",0.5,0.474,0.764536257698542,15
"6",0.5,0.607,1.54063719302881,11
"7",0.5,0.501,2.13070369476805,2
"8",0.5,0.895,1.86219399126943,4
"9",0.5,0.474,2.55609200296626,1
"10",0.5,0.943,1.89956744900341,3
"11",0.5,0.897,1.5234833693967,12
"12",0.5,0.632,1.39872627957719,13
"13",0.5,0.836,1.5690892503232,10
"14",0.5,0.921,1.18889373896682,14
"15",0.5,0.905,1.59654518095939,9
