"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.396","3.73921706158549","BLCA",1
"2","0.5","0.601","3.20698777641296","BRCA_1",2
"3","0.5","0.146","3.10464778640654","BRCA_2",3
"4","0.5","0.834","3.41536052577395","COAD_READ",4
"5","0.5","0.43","2.57400339041836","HNSC",5
"6","0.5","0.241","3.24287920709652","KICH",6
"7","0.5","0.821","2.34161618237241","KIRC",7
"8","0.5","0.662","2.81033482318941","KIRP",8
"9","0.5","0.628","3.5189360396389","LIHC",9
"10","0.5","0.752","3.07669942037515","LUAD",10
"11","0.5","0.308","2.64665298276953","LUSC",11
"12","0.5","0.775","3.08523174632351","PRAD",12
"13","0.5","0.892","3.45271796375177","STES",13
"14","0.5","0.697","2.99947398814099","THCA",14
"15","0.5","0.569","4.05354552805154","UCEC",15
