"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.584","2.53458058963897","BLCA",1
"2","0.5","0.582","2.83273976489193","BRCA_1",2
"3","0.5","0.698","2.26542588952364","BRCA_2",3
"4","0.5","0.326","2.19521087470964","COAD_READ",4
"5","0.5","0.478","1.16666643952809","HNSC",5
"6","0.5","0.866","2.26191786136943","KICH",6
"7","0.5","0.179","2.00966362963686","KIRC",7
"8","0.5","0.563","2.12942133733652","KIRP",8
"9","0.5","0.587","1.75740582789514","LIHC",9
"10","0.5","0.388","2.25059928242245","LUAD",10
"11","0.5","0.657","2.1996989412212","LUSC",11
"12","0.5","0.317","2.61655401259706","PRAD",12
"13","0.5","0.171","2.00527126165777","STES",13
"14","0.5","0.465","2.68958267705333","THCA",14
"15","0.5","0.508","3.0298906829003","UCEC",15
