"","likelihood","bart","expr","rank_size"
"1",0.5,0.453,2.75674747745455,4
"2",0.5,0.424,2.59311079238815,8
"3",0.5,0.16,2.67027353398555,5
"4",0.5,0.482,2.2063519575607,14
"5",0.5,0.273,2.3469607525267,12
"6",0.5,0.304,1.8762206257745,15
"7",0.5,0.574,2.81944907765713,2
"8",0.5,0.427,2.65709191008592,6
"9",0.5,0.482,2.27615554134329,13
"10",0.5,0.391,2.81013545750507,3
"11",0.5,0.279,2.63253622027796,7
"12",0.5,0.487,2.56350763961314,10
"13",0.5,0.481,2.57857046145772,9
"14",0.5,0.365,2.95736313124678,1
"15",0.5,0.482,2.53385247321796,11
