"","likelihood","bart","expr","cancer","rank_size"
"1","0.532450931026013","0.18","-1.09683342505499","BLCA",1
"2","0.601193918051544","0.55","-2.25992046900069","BRCA_1",2
"3","0.195910391193664","0.103","-1.84201556759949","BRCA_2",3
"4","0.147296142683891","0.535","1.8503174703687","COAD_READ",4
"5","0.556732155917713","0.256","-1.97432804798779","HNSC",5
"6","0.0169599555622784","0.408","-2.10286737859623","KICH",6
"7","0.673854039236814","0.394","-2.28054598112852","KIRC",7
"8","0.0546774905466261","0.284","-2.204390642838","KIRP",8
"9","0.00154195673964747","0.465","-0.853584307340911","LIHC",9
"10","1.18205999438886e-07","0.73","-1.54925790266861","LUAD",10
"11","0.876141744784713","0.5","-1.72841837936899","LUSC",11
"12","0.723917028113106","0.831","-2.10407003263963","PRAD",12
"13","0.0959395603224633","0.634","1.58393352478809","STES",13
"14","1.63014332110077e-05","0.615","-2.2723761485436","THCA",14
"15","0.261059334761234","0.258","-1.75800682732566","UCEC",15
