"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.712","2.24650490991891","BLCA",1
"2","0.5","0.0570000000000001","2.50737091023997","BRCA_1",2
"3","0.5","0.284","2.2654967932533","BRCA_2",3
"4","0.5","0.056","2.13603145391606","COAD_READ",4
"5","0.5","0.197","2.01088194892304","HNSC",5
"6","0.5","0.865","2.11301740296716","KICH",6
"7","0.5","0.045","2.09193964008926","KIRC",7
"8","0.5","0.088","1.85035753586091","KIRP",8
"9","0.5","0.055","1.13734070934973","LIHC",9
"10","0.5","0.042","2.19323432510062","LUAD",10
"11","0.5","0.126","2.34814119662881","LUSC",11
"12","0.5","0.037","2.55768333147168","PRAD",12
"13","0.5","0.049","2.16113714164545","STES",13
"14","0.5","0.0590000000000001","2.49350217875789","THCA",14
"15","0.5","0.401","2.20238508476046","UCEC",15
