"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.784","1.33799552907437","BLCA",1
"2","0.5","0.669","1.79826861666469","BRCA_1",2
"3","0.5","0.857","1.76182305491849","BRCA_2",3
"4","0.5","0.726","1.0144906359932","COAD_READ",4
"5","0.5","0.706","1.11615817315832","HNSC",5
"6","0.5","0.93","0.440258530243582","KICH",6
"7","0.5","0.121","1.52553722242603","KIRC",7
"8","0.5","0.789","1.13202379678229","KIRP",8
"9","0.5","0.66","0.402808448317905","LIHC",9
"10","0.5","0.496","1.48810752433705","LUAD",10
"11","0.5","0.816","1.59530678118408","LUSC",11
"12","0.5","0.371","1.40710081292508","PRAD",12
"13","0.5","0.59","2.05543736977998","STES",13
"14","0.5","0.647","1.50398813171246","THCA",14
"15","0.5","0.792","1.39682329676711","UCEC",15
