"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.121","0.313677804929435","BLCA",1
"2","0.5","0.116","-0.102648974894018","BRCA_1",2
"3","0.5","0.19","-0.700843858769898","BRCA_2",3
"4","0.5","0.697","0.0930848783375663","COAD_READ",4
"5","0.5","0.733","-0.652252686228489","HNSC",5
"6","0.5","0.538","-0.334627038240226","KICH",6
"7","0.5","0.488","-0.386741435124579","KIRC",7
"8","0.5","0.509","0.373030598247384","KIRP",8
"9","0.5","0.225","0.184728213440461","LIHC",9
"10","0.5","0.266","-0.00527277266331495","LUAD",10
"11","0.5","0.225","-0.352573602841628","LUSC",11
"12","0.5","0.077","-0.795639734411418","PRAD",12
"13","0.5","0.737","-0.2526490676634","STES",13
"14","0.5","0.614","-0.481760959416434","THCA",14
"15","0.5","0.0590000000000001","-0.131419572481665","UCEC",15
