"","likelihood","bart","expr","cancer","rank_size"
"1","0.402750324084724","0.178","0.871356050665422","BLCA",1
"2","1.62890184034651e-27","0.219","1.07307906947506","BRCA_1",2
"3","1.15590020875851e-33","0.136","0.89672801166751","BRCA_2",3
"4","0.628823807986195","0.17","0.628387986623472","COAD_READ",4
"5","0.00159915005894231","0.257","0.455657354299519","HNSC",5
"6","0.00325614674710259","0.234","0.208817530576516","KICH",6
"7","0.594122965120647","0.451","0.780897428701711","KIRC",7
"8","0.731833888924978","0.188","0.655391497987449","KIRP",8
"9","2.25626189959556e-20","0.412","0.0434365672810896","LIHC",9
"10","7.63803721315114e-10","0.307","0.751796222375246","LUAD",10
"11","1.48754076772344e-09","0.227","0.784841931842715","LUSC",11
"12","0.654421481576993","0.67","0.733088632560447","PRAD",12
"13","0.374889668648238","0.274","1.44872019883002","STES",13
"14","0.176325992251314","0.721","0.631040230136139","THCA",14
"15","0.00138751325541036","0.166","0.789308200746038","UCEC",15
