"","likelihood","bart","expr","rank_size"
"1",0.5,0.306,-2.14608910685966,9
"2",0.5,0.088,-2.15551349529076,10
"3",0.5,0.089,-1.95976699550064,4
"4",0.5,0.077,-2.09196836361028,7
"5",0.5,0.143,-2.1673241815839,11
"6",0.5,0.203,-2.24796129138704,15
"7",0.5,0.169,-2.19875064761538,13
"8",0.5,0.051,-2.13405847256085,8
"9",0.5,0.192,-2.07936502709351,6
"10",0.5,0.141,-1.47331649054337,1
"11",0.5,0.123,-1.89251301616943,2
"12",0.5,0.221,-2.18940782110765,12
"13",0.5,0.124,-2.04289042866592,5
"14",0.5,0.15,-2.22178896698973,14
"15",0.5,0.124,-1.90840523859386,3
