"","likelihood","bart","expr","rank_size"
"1",0.5,0.382,-2.27504476737204,11
"2",0.5,0.72,-2.27576333892498,12
"3",0.5,0.522,-2.26372630646097,7
"4",0.5,0.468,-2.26018003851385,6
"5",0.5,0.657,-2.27976057149761,13
"6",0.5,0.76,-2.28247199299912,14
"7",0.5,0.49,-2.15590237470824,3
"8",0.5,0.394,-2.00500852954578,1
"9",0.5,0.777,-2.27075518730496,9
"10",0.5,0.556,-2.26480135401263,8
"11",0.5,0.548,-2.25278432873738,5
"12",0.5,0.768,-2.27199899470151,10
"13",0.5,0.45,-2.08456077805229,2
"14",0.5,0.662,-2.2839032781366,15
"15",0.5,0.517,-2.16600435993429,4
