"","likelihood","bart","expr","rank_size"
"1",0.5,0.261,2.47977263604359,10
"2",0.5,0.637,2.84516979891374,4
"3",0.5,0.887,2.73791994648909,5
"4",0.5,0.896,2.97413317432399,1
"5",0.5,0.892,2.93363975746983,3
"6",0.5,0.353,2.3055062902755,14
"7",0.5,0.723,2.45992477696195,11
"8",0.5,0.894,2.45973290373955,12
"9",0.5,0.699,1.93557302691021,15
"10",0.5,0.87,2.71594755830208,7
"11",0.5,0.683,2.93409961232075,2
"12",0.5,0.281,2.72122822209182,6
"13",0.5,0.897,2.59234317336595,8
"14",0.5,0.892,2.4554819181597,13
"15",0.5,0.488,2.56675594094925,9
