"","likelihood","bart","expr","cancer","rank_size"
"1","0.000539485673659904","0.71","1.92347533674823","BLCA",1
"2","7.20525415061611e-12","0.898","2.16651362110352","BRCA_1",2
"3","1.25181361737275e-09","0.964","2.00267889458134","BRCA_2",3
"4","2.76745379891568e-15","0.803","1.5671707181533","COAD_READ",4
"5","5.73902278503029e-40","0.962","1.76464669074467","HNSC",5
"6","0.0110125412298503","0.903","0.978803006586323","KICH",6
"7","2.38786567950148e-05","0.676","1.81011942952547","KIRC",7
"8","2.38605462960947e-06","0.799","1.41374451267055","KIRP",8
"9","2.98680163159462e-68","0.953","0.76064273537835","LIHC",9
"10","9.86830163015607e-09","0.859","1.8457532889325","LUAD",10
"11","4.87747282624604e-05","0.96","2.12263373930707","LUSC",11
"12","1.37801202883164e-10","0.852","1.70826308690469","PRAD",12
"13","5.38999761049459e-10","0.768","1.73014218231055","STES",13
"14","3.4263559484118e-06","0.898","1.64628881734149","THCA",14
"15","0.015531035519444","0.784","1.78031287638416","UCEC",15
