"","likelihood","bart","expr","cancer","rank_size"
"1","0.00013271736312515","0.212","-1.57413135965249","BLCA",1
"2","0.001572963127866","0.261","-0.656368116960056","BRCA_1",2
"3","3.17293807222964e-09","0.825","-1.05809649307031","BRCA_2",3
"4","1.35207814571251e-05","0.118","-1.31570817608803","COAD_READ",4
"5","0.00227089722378269","0.671","-1.58557326960987","HNSC",5
"6","0.787100627914804","0.452","-1.2981463946092","KICH",6
"7","0.800251696430474","0.932","-0.64155339507161","KIRC",7
"8","0.200812830077875","0.948","-1.84711404860535","KIRP",8
"9","0.204259423490843","0.157","-1.73005106878243","LIHC",9
"10","2.11633792097253e-05","0.155","-0.854011836562172","LUAD",10
"11","3.72325908378867e-15","0.0649999999999999","-1.26234457083263","LUSC",11
"12","0.219553865316782","0.245","-1.02839293398687","PRAD",12
"13","0.0633922927249664","0.336","-0.596745385646925","STES",13
"14","0.342688193146114","0.812","-1.0554151085133","THCA",14
"15","0.209969873220962","0.354","-1.29100670430526","UCEC",15
