"","likelihood","bart","expr","rank_size"
"1",0.494329693391172,0.909,1.62771964158159,10
"2",1.2738737641744e-118,0.269,2.03977681855681,4
"3",7.68894541466338e-36,0.801,2.53937370001177,2
"4",2.81731407455899e-41,0.348,1.98053180767446,6
"5",3.87877972070838e-77,0.192,1.46707514844526,12
"6",0.0135450570312071,0.826,0.380953192729013,15
"7",1.50599252936851e-11,0.082,2.68125457077157,1
"8",0.0366830013342823,0.23,1.38523484127332,13
"9",7.47006860082029e-42,0.207,1.18024309916996,14
"10",6.13020110706734e-05,0.123,1.57284978698858,11
"11",3.1474465631823e-25,0.441,1.7609955062454,8
"12",1.75193744993326e-29,0.122,2.02480669876575,5
"13",4.19085924389301e-40,0.218,2.16523398457501,3
"14",4.81612441394558e-38,0.092,1.69476884992469,9
"15",4.88813878655906e-53,0.835,1.91441001596598,7
