"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.641","2.00259975389898","BLCA",1
"2","0.5","0.352","1.97153360181206","BRCA_1",2
"3","0.5","0.669","1.94388799295336","BRCA_2",3
"4","0.5","0.292","1.93968374916009","COAD_READ",4
"5","0.5","0.311","1.86944065039911","HNSC",5
"6","0.5","0.873","1.70417588520942","KICH",6
"7","0.5","0.195","1.6850715816049","KIRC",7
"8","0.5","0.373","2.06594830692123","KIRP",8
"9","0.5","0.222","1.35065479365001","LIHC",9
"10","0.5","0.14","1.86734659145313","LUAD",10
"11","0.5","0.16","1.97294656340508","LUSC",11
"12","0.5","0.22","1.80925328011405","PRAD",12
"13","0.5","0.143","2.22994992611497","STES",13
"14","0.5","0.162","1.8480977795713","THCA",14
"15","0.5","0.464","2.21266262474699","UCEC",15
