"","likelihood","bart","expr","cancer","rank_size"
"1","2.91322786205481e-44","0.87","1.88094292401783","BLCA",1
"2","3.7704259629056e-16","0.45","2.09946526007577","BRCA_1",2
"3","2.63827077099124e-24","0.427","2.18850981268275","BRCA_2",3
"4","3.9085365324301e-05","0.336","1.6649916789784","COAD_READ",4
"5","9.56863443859717e-56","0.684","1.41816593741564","HNSC",5
"6","2.22314707040735e-18","0.137","0.942645646162865","KICH",6
"7","2.47805043873542e-23","0.523","1.82644770705245","KIRC",7
"8","6.06703628977667e-32","0.219","1.58251231637154","KIRP",8
"9","1.92154427723697e-105","0.564","1.44718570224882","LIHC",9
"10","4.18672783934687e-51","0.59","1.98026331007871","LUAD",10
"11","1.68347329164606e-19","0.519","1.88213958372714","LUSC",11
"12","1.6884055482036e-32","0.66","1.54928417680501","PRAD",12
"13","1.44910346877534e-29","0.687","1.78875518738104","STES",13
"14","9.10305139140627e-08","0.315","1.64192494632203","THCA",14
"15","2.49122847018519e-23","0.58","1.97420831577959","UCEC",15
