"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.866","1.5478276179471","BLCA",1
"2","0.5","0.549","2.13656621155272","BRCA_1",2
"3","0.5","0.766","1.99497328797778","BRCA_2",3
"4","0.5","0.827","1.71228500330394","COAD_READ",4
"5","0.5","0.426","1.9887785746802","HNSC",5
"6","0.5","0.365","1.66568198900581","KICH",6
"7","0.5","0.319","2.05641318178836","KIRC",7
"8","0.5","0.621","1.71460974787352","KIRP",8
"9","0.5","0.64","1.22791035930239","LIHC",9
"10","0.5","0.529","1.89841966061274","LUAD",10
"11","0.5","0.541","1.88597330662888","LUSC",11
"12","0.5","0.526","1.94274686494417","PRAD",12
"13","0.5","0.639","2.18709239148699","STES",13
"14","0.5","0.294","2.27385703712537","THCA",14
"15","0.5","0.756","1.57228981997301","UCEC",15
