"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.802","1.38292650446625","BLCA",1
"2","0.5","0.967","2.05393087679023","BRCA_1",2
"3","0.5","0.982","1.79543142246601","BRCA_2",3
"4","0.5","0.972","1.56976755964459","COAD_READ",4
"5","0.5","0.977","1.09459318130891","HNSC",5
"6","0.5","0.437","1.14590279651398","KICH",6
"7","0.5","0.979","1.93564892276549","KIRC",7
"8","0.5","0.958","1.37652466900744","KIRP",8
"9","0.5","0.973","1.02233664474302","LIHC",9
"10","0.5","0.977","1.8517884076089","LUAD",10
"11","0.5","0.942","1.41639490746293","LUSC",11
"12","0.5","0.955","1.88454413875628","PRAD",12
"13","0.5","0.962","1.79481552996835","STES",13
"14","0.5","0.968","1.83469413589315","THCA",14
"15","0.5","0.966","1.4861048633116","UCEC",15
