"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.155","0.751273998023723","BLCA",1
"2","0.5","0.67","0.61787613176288","BRCA_1",2
"3","0.5","0.159","1.09282960874703","BRCA_2",3
"4","0.5","0.457","-1.04537116290005","COAD_READ",4
"5","0.5","0.413","0.286058977039013","HNSC",5
"6","0.5","0.307","-1.76026677779091","KICH",6
"7","0.5","0.629","-1.23886091548347","KIRC",7
"8","0.5","0.319","-1.23730942857979","KIRP",8
"9","0.5","0.771","-1.49890568229146","LIHC",9
"10","0.5","0.618","0.0947100271018674","LUAD",10
"11","0.5","0.72","1.44688289311228","LUSC",11
"12","0.5","0.802","0.0015004289505523","PRAD",12
"13","0.5","0.71","0.204170388907244","STES",13
"14","0.5","0.724","-1.58286747301753","THCA",14
"15","0.5","0.152","-0.449261497498563","UCEC",15
