"","likelihood","bart","expr","rank_size"
"1",0.5,0.55,1.77898490672217,9
"2",0.5,0.0570000000000001,2.22188233022001,1
"3",0.5,0.548,1.78561152258098,8
"4",0.5,0.0620000000000001,1.86139922543762,7
"5",0.5,0.046,1.70228231466362,11
"6",0.5,0.247,1.76349225147669,10
"7",0.5,0.141,2.12904735779736,2
"8",0.5,0.074,1.68099981702823,13
"9",0.5,0.046,1.59816183475575,15
"10",0.5,0.07,1.98703994882252,6
"11",0.5,0.0659999999999999,1.99138992050031,4
"12",0.5,0.0600000000000001,2.01334771904422,3
"13",0.5,0.069,1.98989476225619,5
"14",0.5,0.0669999999999999,1.69708228121745,12
"15",0.5,0.337,1.63952495607234,14
