"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.097","2.37297795980677","BLCA",1
"2","0.5","0.327","3.05051554359765","BRCA_1",2
"3","0.5","0.16","2.92924374845157","BRCA_2",3
"4","0.5","0.756","2.301936384432","COAD_READ",4
"5","0.5","0.942","2.07782907157317","HNSC",5
"6","0.5","0.16","2.57085320269072","KICH",6
"7","0.5","0.766","2.64356573878154","KIRC",7
"8","0.5","0.734","2.39651510338515","KIRP",8
"9","0.5","0.526","1.7735820447116","LIHC",9
"10","0.5","0.793","2.30245564051066","LUAD",10
"11","0.5","0.881","2.55170911316065","LUSC",11
"12","0.5","0.473","2.91003758044181","PRAD",12
"13","0.5","0.97","2.2001347209953","STES",13
"14","0.5","0.911","2.78993334372633","THCA",14
"15","0.5","0.101","1.99647475918189","UCEC",15
