"","likelihood","bart","expr","cancer","rank_size"
"1","3.04268551362902e-13","0.238","2.31209196082313","BLCA",1
"2","9.65449250028989e-14","0.339","2.50322279721014","BRCA_1",2
"3","0.0975552015447223","0.736","2.1411161631333","BRCA_2",3
"4","0.0017475031018948","0.816","2.33036665806211","COAD_READ",4
"5","0.277212651428184","0.672","1.86917098733433","HNSC",5
"6","0.000576063574870814","0.37","2.26245264384682","KICH",6
"7","0.00333191855610525","0.464","2.37959936468093","KIRC",7
"8","0.854231994726996","0.85","2.34423412863012","KIRP",8
"9","5.61331430599469e-16","0.397","1.25747750962471","LIHC",9
"10","0.675279290772255","0.699","2.35077569845818","LUAD",10
"11","1.12178683859699e-05","0.758","2.3671523078146","LUSC",11
"12","0.308924036596074","0.178","2.30200166912413","PRAD",12
"13","0.000343092838424798","0.701","2.42718496885266","STES",13
"14","0.121405533870898","0.735","2.43331772949786","THCA",14
"15","0.0988906834780142","0.685","2.26518334661886","UCEC",15
