"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.436","1.9516427010982","BLCA",1
"2","0.5","0.33","2.28758696643754","BRCA_1",2
"3","0.5","0.098","1.83118947098725","BRCA_2",3
"4","0.5","0.912","1.68515696823135","COAD_READ",4
"5","0.5","0.151","1.11217529753915","HNSC",5
"6","0.5","0.123","0.456752792579288","KICH",6
"7","0.5","0.38","1.87464033344928","KIRC",7
"8","0.5","0.295","0.944284789361727","KIRP",8
"9","0.5","0.496","1.75977797504893","LIHC",9
"10","0.5","0.693","1.37063529892258","LUAD",10
"11","0.5","0.221","1.89153915481514","LUSC",11
"12","0.5","0.719","1.86577112171542","PRAD",12
"13","0.5","0.928","1.66664114976905","STES",13
"14","0.5","0.495","1.24183813935076","THCA",14
"15","0.5","0.666","2.18289165087533","UCEC",15
