"","likelihood","bart","expr","rank_size"
"1",0.5,0.785,1.79153290464047,11
"2",0.5,0.531,2.42286839914086,1
"3",0.5,0.832,2.32198517293896,3
"4",0.5,0.405,2.03450133860822,8
"5",0.5,0.401,2.0128473115553,9
"6",0.5,0.835,1.345839070754,14
"7",0.5,0.121,2.15162948801735,6
"8",0.5,0.487,1.62769515146128,13
"9",0.5,0.42,1.33754084040477,15
"10",0.5,0.322,2.23749382784121,4
"11",0.5,0.633,2.35551775651874,2
"12",0.5,0.259,1.93319299671318,10
"13",0.5,0.192,2.19208620584332,5
"14",0.5,0.257,2.0648843855751,7
"15",0.5,0.69,1.75873498857094,12
