"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.352","1.27802187709019","BLCA",1
"2","0.5","0.311","2.17407129949464","BRCA_1",2
"3","0.5","0.469","2.50563234155338","BRCA_2",3
"4","0.5","0.339","1.78724370718494","COAD_READ",4
"5","0.5","0.658","1.99815915108781","HNSC",5
"6","0.5","0.487","1.6064004952886","KICH",6
"7","0.5","0.947","2.68453417236699","KIRC",7
"8","0.5","0.974","2.39513148927112","KIRP",8
"9","0.5","0.331","1.43049571639421","LIHC",9
"10","0.5","0.344","2.85087426424017","LUAD",10
"11","0.5","0.266","2.30617234887963","LUSC",11
"12","0.5","0.38","1.35305689885576","PRAD",12
"13","0.5","0.435","2.41012523513726","STES",13
"14","0.5","0.806","2.13135867015564","THCA",14
"15","0.5","0.318","2.08575658691537","UCEC",15
