"","likelihood","bart","expr","cancer","rank_size"
"1","0.0906690252755793","0.579","2.92882214402721","BLCA",1
"2","1.53794249160457e-05","0.11","2.9948565557821","BRCA_1",2
"3","0.562128249425355","0.551","3.10102027777837","BRCA_2",3
"4","0.027031593184951","0.278","3.48151551539484","COAD_READ",4
"5","0.0588209709172316","0.117","3.32863750940122","HNSC",5
"6","0.0075849207697583","0.163","3.76892426912166","KICH",6
"7","0.533948193381674","0.225","2.3802158835908","KIRC",7
"8","0.287435567667874","0.183","2.38186296761534","KIRP",8
"9","0.000135361561419556","0.114","2.95638475540636","LIHC",9
"10","0.502716739982783","0.151","3.10163419345718","LUAD",10
"11","0.41923216360539","0.169","3.70587782759331","LUSC",11
"12","0.00266982004387125","0.157","3.26629992527307","PRAD",12
"13","0.0474281767701803","0.148","3.35982302288516","STES",13
"14","0.0527600022157035","0.11","2.74250405400544","THCA",14
"15","0.0198803010212885","0.301","2.97111597802412","UCEC",15
