"","likelihood","bart","expr","rank_size"
"1",3.19572062619633e-49,0.607,4.03808940132965,2
"2",1.30867336964816e-60,0.912,3.877565553601,4
"3",6.51251069451893e-38,0.184,4.03912440944006,1
"4",7.63185712291759e-41,0.468,3.52192015106211,13
"5",1.00887133832793e-81,0.477,3.68435783613738,9
"6",0.00113127628748857,0.86,2.83139295507151,15
"7",1.67122108770262e-09,0.501,3.65203903356543,10
"8",3.11911688576089e-26,0.398,3.53935734567806,12
"9",8.35551639609311e-65,0.717,3.23684592685301,14
"10",4.4452710145501e-22,0.77,3.82245030111446,5
"11",1.37904061216023e-45,0.713,4.03692168293254,3
"12",9.08798603278081e-42,0.984,3.68717324456298,8
"13",6.13775943235918e-65,0.727,3.70454585772287,7
"14",1.2693352524978e-28,0.449,3.82137675671115,6
"15",0.00148047912217514,0.369,3.62866728514296,11
