"","likelihood","bart","expr","cancer","rank_size"
"1","5.05482657202728e-07","0.43","-1.11604742828165","BLCA",1
"2","1.50326132657019e-08","0.467","-0.647227140448097","BRCA_1",2
"3","5.11220099717209e-13","0.378","-0.909633695442951","BRCA_2",3
"4","1.58303542241203e-10","0.267","-1.25807920065617","COAD_READ",4
"5","2.47118258573569e-16","0.361","-1.18262034042421","HNSC",5
"6","5.70067992097756e-47","0.461","-0.763991794880282","KICH",6
"7","8.04348154223524e-09","0.975","0.469599361239848","KIRC",7
"8","9.20331303914612e-17","0.451","-1.25397037402377","KIRP",8
"9","2.4335314096125e-19","0.705","-1.15166678180412","LIHC",9
"10","1.47888422238921e-17","0.326","-0.708735422150521","LUAD",10
"11","8.23747263426554e-12","0.268","-1.02789342006954","LUSC",11
"12","3.69630712152465e-13","0.69","-0.989795353674084","PRAD",12
"13","5.36965458711264e-09","0.406","-0.85960283513341","STES",13
"14","0.0586076553785151","0.691","-0.470896619582891","THCA",14
"15","0.000422333346900373","0.352","-1.33406428247789","UCEC",15
