"","likelihood","bart","expr","rank_size"
"1",2.25230397074727e-21,0.54,2.78820687881672,7
"2",3.67118849787438e-10,0.419,2.92271040273691,3
"3",9.91761399187248e-45,0.696,2.8629745548354,5
"4",1.22459819300154e-23,0.437,2.54860605626512,13
"5",0.00313108518956565,0.451,2.6348692095491,9
"6",0.000364366103755382,0.327,1.80622373489134,14
"7",4.93930029382255e-36,0.68,2.80046738347609,6
"8",3.7189133599598e-29,0.683,2.60164471517188,11
"9",3.37267800266586e-13,0.433,1.77682874894241,15
"10",2.1597509847777e-23,0.337,2.62806226579399,10
"11",1.67658451302086e-08,0.294,3.38751499740561,1
"12",1.39534939760061e-37,0.348,2.93466191573012,2
"13",0.000322552858345919,0.397,2.77518712847806,8
"14",8.17215516387301e-32,0.34,2.87064563994213,4
"15",0.000312361663192005,0.453,2.55474146564983,12
