"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.704","2.03367830669023","BLCA",1
"2","0.5","0.169","1.62303453104279","BRCA_1",2
"3","0.5","0.475","2.02993223931636","BRCA_2",3
"4","0.5","0.184","2.15427295215392","COAD_READ",4
"5","0.5","0.103","2.12208257231603","HNSC",5
"6","0.5","0.827","1.37414178849804","KICH",6
"7","0.5","0.095","1.37633594499021","KIRC",7
"8","0.5","0.128","1.66269269890928","KIRP",8
"9","0.5","0.17","1.14917157540806","LIHC",9
"10","0.5","0.102","1.68576788370711","LUAD",10
"11","0.5","0.143","1.93604233840509","LUSC",11
"12","0.5","0.13","1.61431148493016","PRAD",12
"13","0.5","0.085","2.08144358626267","STES",13
"14","0.5","0.128","1.47798355282887","THCA",14
"15","0.5","0.49","2.05016360604001","UCEC",15
