"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.833","1.18988733006482","BLCA",1
"2","0.5","0.266","1.64982331823753","BRCA_1",2
"3","0.5","0.675","1.59340920927597","BRCA_2",3
"4","0.5","0.328","1.3370481638996","COAD_READ",4
"5","0.5","0.208","1.18731684286961","HNSC",5
"6","0.5","0.802","1.05420671535416","KICH",6
"7","0.5","0.135","1.4436486457983","KIRC",7
"8","0.5","0.17","1.12215664958659","KIRP",8
"9","0.5","0.221","0.929690453743512","LIHC",9
"10","0.5","0.163","1.44505576370474","LUAD",10
"11","0.5","0.254","1.46730432327208","LUSC",11
"12","0.5","0.168","1.26648825661644","PRAD",12
"13","0.5","0.17","1.47873330907615","STES",13
"14","0.5","0.112","1.55065266585635","THCA",14
"15","0.5","0.677","1.23129246421228","UCEC",15
