"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.322","1.76650281429917","BLCA",1
"2","0.5","0.974","2.56642697587802","BRCA_1",2
"3","0.5","0.132","1.86909918405635","BRCA_2",3
"4","0.5","0.324","1.70169123008269","COAD_READ",4
"5","0.5","0.185","1.89767701630265","HNSC",5
"6","0.5","0.77","1.77524820082417","KICH",6
"7","0.5","0.444","1.80614468748911","KIRC",7
"8","0.5","0.214","1.3246579357028","KIRP",8
"9","0.5","0.454","0.588376918129147","LIHC",9
"10","0.5","0.912","1.88443776775708","LUAD",10
"11","0.5","0.862","2.11320337980245","LUSC",11
"12","0.5","0.983","2.491128728178","PRAD",12
"13","0.5","0.88","1.89741008504487","STES",13
"14","0.5","0.39","1.8986834746065","THCA",14
"15","0.5","0.524","1.88467339951921","UCEC",15
