"","likelihood","bart","expr","rank_size"
"1",0.5,0.179,-1.52153654283183,6
"2",0.5,0.332,-1.85171476455295,9
"3",0.5,0.408,-0.421976431141069,4
"4",0.5,0.234,-0.101014434689853,1
"5",0.5,0.393,-1.66967953741624,7
"6",0.5,0.156,-2.28361146165265,15
"7",0.5,0.824,-2.2140451452064,13
"8",0.5,0.485,-2.23900527983103,14
"9",0.5,0.202,-0.351183147000093,3
"10",0.5,0.261,-2.07758895928644,10
"11",0.5,0.165,-1.28074096483492,5
"12",0.5,0.444,-2.16495887667244,11
"13",0.5,0.411,-0.324433216605993,2
"14",0.5,0.268,-2.19837586977337,12
"15",0.5,0.103,-1.83378169189363,8
