"","likelihood","bart","expr","rank_size"
"1",0.5,0.258,3.11787125567848,3
"2",0.5,0.723,2.57573314917685,14
"3",0.5,0.356,2.85133378900017,7
"4",0.5,0.847,2.84181687789522,8
"5",0.5,0.85,2.6740287161299,12
"6",0.5,0.111,3.40541037898214,1
"7",0.5,0.962,2.59814031531081,13
"8",0.5,0.823,2.89994224638824,5
"9",0.5,0.77,2.12575211240522,15
"10",0.5,0.877,2.82366689522898,9
"11",0.5,0.197,2.77338193018449,10
"12",0.5,0.915,3.24504459173947,2
"13",0.5,0.861,2.74596950555818,11
"14",0.5,0.949,2.85440858345589,6
"15",0.5,0.419,2.98763417702704,4
