"","likelihood","bart","expr","rank_size"
"1",0.5,0.19,0.821548610926606,13
"2",0.5,0.674,1.52803685072306,5
"3",0.5,0.323,1.0837696643099,11
"4",0.5,0.612,1.11650206761383,9
"5",0.5,0.602,0.699012024106952,15
"6",0.5,0.42,1.04511558835456,12
"7",0.5,0.403,1.84356141740381,1
"8",0.5,0.506,1.63878949484237,2
"9",0.5,0.653,0.791919162014042,14
"10",0.5,0.721,1.17554990498339,8
"11",0.5,0.855,1.1135254516508,10
"12",0.5,0.68,1.53955655517518,4
"13",0.5,0.53,1.40960336652074,6
"14",0.5,0.463,1.22485055557266,7
"15",0.5,0.264,1.61157708035207,3
