"","likelihood","bart","expr","rank_size"
"1",0.5,0.221,1.63109194572688,6
"2",0.5,0.804,1.76804818167211,1
"3",0.5,0.56,1.76459389728521,2
"4",0.5,0.895,1.54195358249903,9
"5",0.5,0.765,1.56479731344438,8
"6",0.5,0.579,1.17771826939743,14
"7",0.5,0.729,1.42458769726182,12
"8",0.5,0.849,1.38844416100063,13
"9",0.5,0.63,0.640803824773398,15
"10",0.5,0.815,1.56978055261119,7
"11",0.5,0.703,1.66608263305106,5
"12",0.5,0.529,1.68396833459,4
"13",0.5,0.822,1.5058424374241,11
"14",0.5,0.926,1.69192501634298,3
"15",0.5,0.684,1.53687775171633,10
