"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.469","-0.11675034949034","BLCA",1
"2","0.5","0.461","-0.121706621096656","BRCA_1",2
"3","0.5","0.337","0.236529159820339","BRCA_2",3
"4","0.5","0.279","-0.432479176102573","COAD_READ",4
"5","0.5","0.365","-0.65512588598814","HNSC",5
"6","0.5","0.219","-0.719491152760255","KICH",6
"7","0.5","0.409","-0.364345324721718","KIRC",7
"8","0.5","0.238","-0.468678196728668","KIRP",8
"9","0.5","0.728","-0.766810694204578","LIHC",9
"10","0.5","0.515","0.00920375793189377","LUAD",10
"11","0.5","0.272","-0.00672152065701895","LUSC",11
"12","0.5","0.849","-0.257552171851635","PRAD",12
"13","0.5","0.371","-0.0308670155151099","STES",13
"14","0.5","0.681","-0.352391879935341","THCA",14
"15","0.5","0.296","-0.184421496364765","UCEC",15
