"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.284","2.83302309416181","BLCA",1
"2","0.5","0.266","2.73401461814178","BRCA_1",2
"3","0.5","0.68","3.01879342303785","BRCA_2",3
"4","0.5","0.372","2.96300554241439","COAD_READ",4
"5","0.5","0.407","2.78698447804643","HNSC",5
"6","0.5","0.274","2.27907899955844","KICH",6
"7","0.5","0.634","2.3992790657","KIRC",7
"8","0.5","0.668","2.37147315211424","KIRP",8
"9","0.5","0.172","2.33029667429076","LIHC",9
"10","0.5","0.237","2.75324509355411","LUAD",10
"11","0.5","0.134","2.93540651983233","LUSC",11
"12","0.5","0.353","2.80730202800478","PRAD",12
"13","0.5","0.288","2.74111325179669","STES",13
"14","0.5","0.222","2.85669429484167","THCA",14
"15","0.5","0.274","2.91799786700398","UCEC",15
