"","likelihood","bart","expr","cancer","rank_size"
"1","8.15971493890403e-74","0.747","2.58742416021265","BLCA",1
"2","2.31620962968634e-58","0.303","2.694857802932","BRCA_1",2
"3","3.4103407256038e-47","0.562","2.70257100278387","BRCA_2",3
"4","1.78168686328988e-69","0.351","2.68901029276522","COAD_READ",4
"5","1.80009654720133e-115","0.313","2.61607185127078","HNSC",5
"6","3.74446637140068e-08","0.498","2.45171274015329","KICH",6
"7","1.74711418193563e-23","0.279","2.58435369385512","KIRC",7
"8","3.45891276507206e-21","0.29","2.40394458938801","KIRP",8
"9","6.72010499423793e-90","0.317","2.18730835676927","LIHC",9
"10","9.24544865965004e-68","0.279","2.62921837126372","LUAD",10
"11","9.63107255563679e-70","0.322","2.78134608001016","LUSC",11
"12","2.89245202347515e-37","0.311","2.54839407537457","PRAD",12
"13","2.82400753865558e-52","0.299","2.79677496243578","STES",13
"14","4.61090257555248e-90","0.255","2.79511090680809","THCA",14
"15","2.4893261024647e-41","0.408","2.64477606467306","UCEC",15
