"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.912","1.80155459612718","BLCA",1
"2","0.5","0.915","1.38536723193898","BRCA_1",2
"3","0.5","0.96","1.24164851622788","BRCA_2",3
"4","0.5","0.749","1.32545267244705","COAD_READ",4
"5","0.5","0.955","1.17622172460614","HNSC",5
"6","0.5","0.813","0.679026361400547","KICH",6
"7","0.5","0.795","1.46612094689206","KIRC",7
"8","0.5","0.863","1.58361676908109","KIRP",8
"9","0.5","0.945","1.32526868507795","LIHC",9
"10","0.5","0.888","1.62173076999194","LUAD",10
"11","0.5","0.944","1.5475167934021","LUSC",11
"12","0.5","0.842","1.85389975289128","PRAD",12
"13","0.5","0.876","1.07672212769447","STES",13
"14","0.5","0.809","1.68712510681551","THCA",14
"15","0.5","0.935","1.93295766146722","UCEC",15
