"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.899","2.46271576745943","BLCA",1
"2","0.5","0.623","2.41367832028053","BRCA_1",2
"3","0.5","0.851","1.97304447899882","BRCA_2",3
"4","0.5","0.445","2.76282091532612","COAD_READ",4
"5","0.5","0.573","2.54143097531508","HNSC",5
"6","0.5","0.928","2.5578532931666","KICH",6
"7","0.5","0.19","2.06876896551953","KIRC",7
"8","0.5","0.597","2.25364737479676","KIRP",8
"9","0.5","0.648","1.69317457216957","LIHC",9
"10","0.5","0.244","2.09325997030744","LUAD",10
"11","0.5","0.501","2.18911614370342","LUSC",11
"12","0.5","0.283","2.33586660263156","PRAD",12
"13","0.5","0.278","3.35780362747101","STES",13
"14","0.5","0.399","2.38832959603197","THCA",14
"15","0.5","0.821","2.06963960012367","UCEC",15
