"","likelihood","bart","expr","rank_size"
"1",0.5,0.753,0.677392985587427,5
"2",0.5,0.6,0.695496418740089,4
"3",0.5,0.663,0.751706691905193,3
"4",0.5,0.894,0.857474397198558,2
"5",0.5,0.669,0.446503667125166,8
"6",0.5,0.243,0.0360103475623246,14
"7",0.5,0.557,0.224621081769022,13
"8",0.5,0.703,0.370284106108594,11
"9",0.5,0.674,-0.0405441649102361,15
"10",0.5,0.665,0.440468209569082,9
"11",0.5,0.62,0.923852335600681,1
"12",0.5,0.55,0.649101352442145,6
"13",0.5,0.696,0.604212065999156,7
"14",0.5,0.423,0.353868836561188,12
"15",0.5,0.683,0.414550346584387,10
