"","likelihood","bart","expr","rank_size"
"1",0.5,0.451,-1.01049719613945,12
"2",0.5,0.633,-0.570015328418311,6
"3",0.5,0.66,-0.462626527100096,3
"4",0.5,0.693,-1.26596007365711,13
"5",0.5,0.681,-0.946932410583187,11
"6",0.5,0.709,-1.55482596265437,15
"7",0.5,0.293,-0.190459590167092,2
"8",0.5,0.669,-0.66510432357052,8
"9",0.5,0.65,-1.43741909252362,14
"10",0.5,0.58,-0.832771302798362,9
"11",0.5,0.771,-0.645122641901792,7
"12",0.5,0.437,-0.524960858224855,5
"13",0.5,0.506,-0.880503531745902,10
"14",0.5,0.488,0.0990932910058285,1
"15",0.5,0.52,-0.50425533961194,4
