"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.877","1.8748579681293","BLCA",1
"2","0.5","0.926","2.04624610772196","BRCA_1",2
"3","0.5","0.894","1.95952614994626","BRCA_2",3
"4","0.5","0.846","1.82669458282811","COAD_READ",4
"5","0.5","0.745","1.26387728656196","HNSC",5
"6","0.5","0.261","1.62405771060914","KICH",6
"7","0.5","0.91","1.79389078477749","KIRC",7
"8","0.5","0.963","1.99269755159157","KIRP",8
"9","0.5","0.861","1.40926644287372","LIHC",9
"10","0.5","0.884","2.13534324165843","LUAD",10
"11","0.5","0.636","1.94622235823262","LUSC",11
"12","0.5","0.815","2.07826539364535","PRAD",12
"13","0.5","0.823","1.91963741628144","STES",13
"14","0.5","0.857","2.22952087545425","THCA",14
"15","0.5","0.972","2.32653614167524","UCEC",15
