"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.524","1.55523098107938","BLCA",1
"2","0.5","0.58","1.29974382524711","BRCA_1",2
"3","0.5","0.683","1.25133359855117","BRCA_2",3
"4","0.5","0.699","1.53058943589064","COAD_READ",4
"5","0.5","0.586","1.09545686667599","HNSC",5
"6","0.5","0.606","1.64349565747633","KICH",6
"7","0.5","0.277","1.01953041075339","KIRC",7
"8","0.5","0.613","1.42003980254805","KIRP",8
"9","0.5","0.606","1.23813424238849","LIHC",9
"10","0.5","0.529","1.19838486074445","LUAD",10
"11","0.5","0.75","1.33427354467801","LUSC",11
"12","0.5","0.441","1.88700660750307","PRAD",12
"13","0.5","0.497","1.7235683605445","STES",13
"14","0.5","0.35","1.64228862144131","THCA",14
"15","0.5","0.54","2.00063462098938","UCEC",15
