"","likelihood","bart","expr","rank_size"
"1",0.5,0.716,0.407070822054584,5
"2",0.5,0.17,0.594913466641325,1
"3",0.5,0.485,0.368653641687174,6
"4",0.5,0.163,0.263080779599741,9
"5",0.5,0.13,0.202845615767565,11
"6",0.5,0.788,-0.0898669562484634,15
"7",0.5,0.09,0.152484797481522,13
"8",0.5,0.116,0.066602855424295,14
"9",0.5,0.16,0.197950734540527,12
"10",0.5,0.112,0.358080273280723,7
"11",0.5,0.202,0.29150582664835,8
"12",0.5,0.107,0.472706024616221,2
"13",0.5,0.077,0.429489533890633,4
"14",0.5,0.081,0.210615656599392,10
"15",0.5,0.466,0.455128480795694,3
