"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.579","-1.31669880712933","BLCA",1
"2","0.5","0.639","-1.50459593202831","BRCA_1",2
"3","0.5","0.757","-1.63495251771055","BRCA_2",3
"4","0.5","0.695","-2.04102479740035","COAD_READ",4
"5","0.5","0.578","-1.86163695176285","HNSC",5
"6","0.5","0.264","-1.37685677600668","KICH",6
"7","0.5","0.319","-1.34843780661139","KIRC",7
"8","0.5","0.518","-1.35084588174355","KIRP",8
"9","0.5","0.592","-2.17423960210836","LIHC",9
"10","0.5","0.621","-1.32161996771647","LUAD",10
"11","0.5","0.774","-1.20794904593352","LUSC",11
"12","0.5","0.53","-0.765755443455053","PRAD",12
"13","0.5","0.454","-1.64843650836384","STES",13
"14","0.5","0.357","-1.02518789875214","THCA",14
"15","0.5","0.602","-1.77566091577006","UCEC",15
